mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice,lat,lon,addressDetails
R2758211,518000.0,2.0,1.0,"20554 118 Ave, Maple Ridge, BC, Canada",1011.0,1.0,2614.0,523.0,1990.0,Townhouse,04/07/2023,2023-03-07,529500.0,49.21671,-122.5753517,"118 Avenue, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3L8, Canada"
R2792921,697000.0,3.0,2.0,"11255 Harrison St, Maple Ridge, BC, Canada",1300.0,2.0,3600.0,484.0,1987.0,Townhouse,04/07/2023,2023-06-28,629900.0,49.2093486,-122.5853685,"Harrison Street, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 2V7, Canada"
R2792988,1299900.0,5.0,3.0,"12036 230St, Maple Ridge, BC, Canada",3369.0,4.0,6994.0,385.0,2004.0,SingleFamily,03/07/2023,2023-06-23,1299900.0,,,
R2791852,1042500.0,4.0,3.0,"10287 243St, Maple Ridge, BC, Canada",2323.0,2.0,4812.0,451.0,2002.0,SingleFamily,03/07/2023,2023-06-21,1049900.0,,,
R2786926,1380000.0,5.0,2.0,"10528 Baker Pl, Maple Ridge, BC, Canada",3576.0,6.0,6485.0,419.0,2003.0,SingleFamily,03/07/2023,2023-06-08,1499900.0,49.1940624,-122.546233,"Baker Place, Albion, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2W 2G4, Canada"
R2787737,1675000.0,4.0,3.0,"14101 Mier Dr, Maple Ridge, BC, Canada",3022.0,4.0,5662.0,560.0,2022.0,SingleFamily,03/07/2023,2023-06-11,1695000.0,49.2579111,-122.5817487,"Mier Drive, Bridle Ridge, Silver Valley, Maple Ridge, Metro Vancouver Regional District, British Columbia, V4R 2S6, Canada"
R2793660,901000.0,2.0,1.0,"20514 Westfield Ave, Maple Ridge, BC, Canada",1092.0,3.0,4446.0,823.0,9999.0,SingleFamily,03/07/2023,2023-06-28,899000.0,49.2103382,-122.6526921,"Westfield Avenue, Port Hammond, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 8G1, Canada"
R2793959,556000.0,2.0,2.0,"11605 227St, Maple Ridge, BC, Canada",1118.0,1.0,2089.0,482.0,1993.0,Condo,03/07/2023,2023-06-29,538888.0,,,
R2792226,965000.0,4.0,3.0,"11527 240St, Maple Ridge, BC, Canada",2192.0,6.0,5113.0,455.0,2001.0,SingleFamily,03/07/2023,2023-06-25,999000.0,,,
R2794286,579900.0,2.0,2.0,"22150 Dewdney Trunk Rd, Maple Ridge, BC, Canada",1072.0,1.0,2371.0,540.0,2007.0,Condo,03/07/2023,2023-07-03,579900.0,49.2204908,-122.6045091,"Dewdney Trunk Road, Maple Ridge, Metro Vancouver Regional District, British Columbia, V2X 3C2, Canada"
