,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
600,"5043 2 Ave, Delta, BC",4,3,2438 sqft,,4,"$4,703",1974,R2821027,Residential,No,,$594,20/10/2023,"$1,408,000",02/10/2023,"$1,449,000",Single Family Residence
601,"10531 Santa Monica Dr, Delta, BC",3,2,1897 sqft,,0,"$4,197",1973,R2820973,Residential,No,,$632,18/10/2023,"$1,120,000",02/10/2023,"$1,199,000",Single Family Residence
602,"908 - 11967 80 Ave, Delta, BC",2,2,731 sqft,,1,"$1,726",2017,R2825022,Residential,Yes,,$819,18/10/2023,"$610,000",15/10/2023,"$599,000",Apartment/Condominium
603,"1602 - 11920 80 Ave, Delta, BC",2,2,1360 sqft,,1,"$1,803",1990,R2821443,Residential,Yes,,$403,17/10/2023,"$545,000",03/10/2023,"$549,000",Apartment/Condominium
604,"139 - 5550 Admiral Way, Delta, BC",3,2,1544 sqft,,4,"$3,234",2017,R2817586,Residential,Yes,,$672,16/10/2023,"$1,018,000",17/09/2023,"$1,038,000",Townhouse
605,"204 - 5011 Springs Blvd, Delta, BC",2,2,1612 sqft,,2,"$4,274",2018,R2817221,Residential,Yes,,$867,16/10/2023,"$1,385,000",18/09/2023,"$1,399,000",Apartment/Condominium
606,"11845 90 Ave, Delta, BC",3,1,1610 sqft,,5,"$4,345",1952,R2824296,Residential,No,,$806,16/10/2023,"$1,250,000",10/10/2023,"$1,299,000",Single Family Residence
607,"5155 11a Ave, Delta, BC",4,2,2231 sqft,,4,"$5,489",1978,R2824535,Residential,Yes,,$761,16/10/2023,"$1,725,000",12/10/2023,"$1,699,000",Single Family Residence
608,"1204 - 11910 80 Ave, Delta, BC",1,1,954 sqft,,2,"$1,510",1989,R2822172,Residential,Yes,,$512,15/10/2023,"$485,000",09/10/2023,"$489,000",Apartment/Condominium
609,"298 67a St, Delta, BC",3,2,1704 sqft,,5,"$3,570",1979,R2824161,Residential,Yes,,$703,15/10/2023,"$1,300,000",11/10/2023,"$1,199,000",Single Family Residence
610,"7152 Brewster Dr E, Delta, BC",4,2,2049 sqft,,4,"$4,420",1972,R2825212,Residential,Yes,,$634,-,-,14/03/2024,"$1,479,000",Single Family Residence
611,"4823 13 Ave, Delta, BC",3,2,2791 sqft,,5,"$5,240",1963,R2816032,Residential,Yes,,$658,14/10/2023,"$1,750,000",14/09/2023,"$1,839,000",Single Family Residence
