,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
389,"1609 - 8988 Patterson Rd, Richmond, BC",1,1,546 sqft,,1,"$1,787",2017,R2875712,Residential,Yes,,"$1,097",06/05/2024,"$608,000",25/04/2024,"$599,000",Apartment/Condominium
390,"415 - 5888 Dover Cres, Richmond, BC",2,2,969 sqft,,2,"$1,994",1997,R2876805,Residential,Yes,,$721,06/05/2024,"$736,000",29/04/2024,"$699,000",Apartment/Condominium
391,"108 - 3451 Springfield Dr, Richmond, BC",2,1,902 sqft,,1,"$1,416",1971,R2877913,Residential,No,,$607,06/05/2024,"$540,000",30/04/2024,"$548,000",Apartment/Condominium
392,"410 - 4233 Bayview St, Richmond, BC",2,2,1167 sqft,,1,"$2,753",2005,R2876161,Residential,Yes,,$890,06/05/2024,"$1,100,000",28/04/2024,"$1,038,800",Apartment/Condominium
393,"507 - 3111 Corvette Way, Richmond, BC",1,1,628 sqft,,1,"$1,572",2010,R2877077,Residential,Yes,,$985,06/05/2024,"$610,000",29/04/2024,"$619,000",Apartment/Condominium
394,"9468 Romaniuk Pl, Richmond, BC",4,3,2274 sqft,,4,"$4,106",1981,R2875463,Residential,Yes,,$747,06/05/2024,"$1,756,000",23/04/2024,"$1,699,900",Single Family Residence
395,"3880 Georgia St, Richmond, BC",4,3,2055 sqft,,4,"$5,850",2018,R2853947,Residential,Yes,,"$1,118",06/05/2024,"$2,169,000",27/02/2024,"$2,298,000",Single Family Residence
396,"10 - 8700 Bennett Rd, Richmond, BC",3,2,1357 sqft,,2,"$2,413",1989,R2876648,Residential,Yes,,$663,06/05/2024,"$950,000",28/04/2024,"$899,900",Townhouse
397,"405 - 9388 Tomicki Ave, Richmond, BC",2,2,958 sqft,,3,"$2,436",2017,R2877293,Residential,Yes,,$792,06/05/2024,"$865,000",28/04/2024,"$759,000",Apartment/Condominium
398,"TH8 - 8333 Anderson Rd, Richmond, BC",3,2,1419 sqft,,2,"$3,906",2012,R2874949,Residential,Yes,,$764,06/05/2024,"$1,100,000",23/04/2024,"$1,085,000",Townhouse
399,"1308 - 7333 Murdoch Ave, Richmond, BC",2,2,1032 sqft,,1,"$2,733",2016,R2862894,Residential,Yes,,$968,05/05/2024,"$981,800",24/03/2024,"$999,000",Apartment/Condominium
400,"10097 Lawson Dr, Richmond, BC",5,2,2322 sqft,,4,"$4,881",1980,R2875607,Residential,Yes,,$683,05/05/2024,"$1,820,000",24/04/2024,"$1,588,000",Single Family Residence
401,"5720 Langtree Ave, Richmond, BC",6,6,3358 sqft,,10,"$8,170",2014,R2845250,Residential,Yes,,$887,05/05/2024,"$2,850,000",27/01/2024,"$2,980,000",Single Family Residence
402,"110 - 8220 Jones Rd, Richmond, BC",2,2,954 sqft,,1,"$1,880",1994,R2860240,Residential,Yes,,$773,05/05/2024,"$720,000",17/03/2024,"$738,000",Apartment/Condominium
403,"209 - 7471 Blundell Rd, Richmond, BC",2,2,945 sqft,,1,"$1,631",1982,R2865593,Residential,Yes,,$655,05/05/2024,"$598,000",01/04/2024,"$619,000",Apartment/Condominium
404,"329 - 7295 Moffatt Rd, Richmond, BC",2,1,997 sqft,,1,"$1,457",1981,R2877227,Residential,Yes,,$551,05/05/2024,"$542,000",28/04/2024,"$549,900",Apartment/Condominium
405,"40 - 11771 Kingfisher Dr, Richmond, BC",3,2,1579 sqft,,2,"$2,710",1973,R2875937,Residential,No,,$784,05/05/2024,"$1,300,000",25/04/2024,"$1,238,000",Townhouse
406,"7460 Bates Rd, Richmond, BC",6,5,4429 sqft,,0,"$7,189",1993,R2872943,Residential,Yes,,$606,05/05/2024,"$2,640,000",18/04/2024,"$2,688,000",Single Family Residence
407,"1205 - 5088 Kwantlen St, Richmond, BC",2,2,862 sqft,,1,"$2,194",2007,R2875815,Residential,Yes,,$810,05/05/2024,"$750,000",25/04/2024,"$699,000",Apartment/Condominium
408,"222 - 8700 Ackroyd Rd, Richmond, BC",1,1,648 sqft,,1,"$1,080",1982,R2876982,Residential,Yes,,$691,05/05/2024,"$447,000",29/04/2024,"$448,000",Apartment/Condominium
409,"907 - 10788 No. 5 Rd, Richmond, BC",2,2,931 sqft,,2,"$2,355",2018,R2863684,Residential,Yes,,$912,05/05/2024,"$805,000",26/03/2024,"$850,000",Apartment/Condominium
410,"342 - 7471 Minoru Blvd, Richmond, BC",2,1,945 sqft,,1,"$1,524",1982,R2876279,Residential,Yes,,$633,04/05/2024,"$600,000",28/04/2024,"$599,000",Apartment/Condominium
411,"9 - 8560 Jones Rd, Richmond, BC",4,3,1522 sqft,,1,"$3,417",2017,R2868538,Residential,Yes,,$965,04/05/2024,"$1,368,000",08/04/2024,"$1,469,000",Townhouse
412,"414 - 8220 Jones Rd, Richmond, BC",2,2,932 sqft,,1,"$1,874",1994,R2866055,Residential,No,,$781,03/05/2024,"$715,000",31/03/2024,"$728,000",Apartment/Condominium
413,"701 - 5171 Brighouse Way, Richmond, BC",2,2,1425 sqft,,2,"$3,592",2013,R2873776,Residential,Yes,,"$1,038",03/05/2024,"$1,440,000",21/04/2024,"$1,480,000",Apartment/Condominium
414,"309 - 8600 Ackroyd Rd, Richmond, BC",1,1,730 sqft,,1,"$1,144",1982,R2870986,Residential,Yes,,$656,03/05/2024,"$470,000",14/04/2024,"$479,000",Apartment/Condominium
415,"2 - 4099 No. 4 Rd, Richmond, BC",3,2,1251 sqft,,2,"$2,980",2011,R2865526,Residential,Yes,,$909,03/05/2024,"$1,128,000",31/03/2024,"$1,138,000",Townhouse
416,"1006 - 3280 Corvette Way, Richmond, BC",2,2,926 sqft,,1,"$2,954",2022,R2876884,Residential,Yes,,"$1,203",02/05/2024,"$1,114,900",28/04/2024,"$1,114,900",Apartment/Condominium
417,"9 - 8091 No 2 Rd, Richmond, BC",3,2,1524 sqft,,2,"$3,583",2013,R2867509,Residential,Yes,,$917,02/05/2024,"$1,360,000",07/04/2024,"$1,399,000",Townhouse
418,"718 - 6328 No. 3 Rd, Richmond, BC",2,2,652 sqft,,0,"$2,241",2022,R2872064,Residential,Yes,,"$1,162",02/05/2024,"$736,000",16/04/2024,"$758,000",Apartment/Condominium
419,"303 - 10020 Dunoon Dr, Richmond, BC",2,2,819 sqft,,1,"$1,976",2013,R2877926,Residential,Yes,,$875,02/05/2024,"$716,625",30/04/2024,"$716,625",Apartment/Condominium
420,"203 - 8651 Westminster Highway, Richmond, BC",2,1,940 sqft,,1,"$1,320",1982,R2868535,Residential,Yes,,$625,02/05/2024,"$582,500",09/04/2024,"$588,000",Apartment/Condominium
421,"907 - 7362 Elmbridge Way, Richmond, BC",1,1,600 sqft,,1,,2008,R2873385,Residential,Yes,,$961,02/05/2024,"$548,000",21/04/2024,"$577,000",Apartment/Condominium
422,"4688 Dunfell Rd, Richmond, BC",5,2,2490 sqft,,4,"$5,370",2000,R2878783,Residential,Yes,,$838,02/05/2024,"$2,070,000",28/04/2024,"$2,088,800",Single Family Residence
423,"514 - 5508 Hollybridge Way, Richmond, BC",1,1,666 sqft,,1,"$1,901",2020,R2876308,Residential,Yes,,"$1,048",02/05/2024,"$684,800",28/04/2024,"$698,000",Apartment/Condominium
424,"710 - 7468 Lansdowne Rd, Richmond, BC",2,2,835 sqft,,1,"$2,430",2017,R2872129,Residential,Yes,,"$1,039",02/05/2024,"$852,000",16/04/2024,"$868,000",Apartment/Condominium
