,address,beds,bath,area,maintenance,parking,taxes,built,mlsNumber,levels,garage,lotSize,pricePerSqFt,soldDate,soldPrice,listingDate,listingPrice,type
115,"23 - 14905 60 Avenue, Surrey, BC",3,2,1334 sqft,,2,"$3,029",2013,R2894710,Residential,Yes,,$592,16/06/2024,"$779,000",12/06/2024,"$790,000",Townhouse
116,"308 - 10662 151 A Street, Surrey, BC",2,1,915 sqft,,1,"$1,783",1987,R2893196,Residential,Yes,,$490,16/06/2024,"$420,000",09/06/2024,"$449,000",Apartment/Condominium
117,"2193 166 Street, Surrey, BC",5,3,2482 sqft,,2,"$3,471",2024,R2880784,Residential,Yes,,$724,16/06/2024,"$1,647,619",07/05/2024,"$1,799,000",Single Family Residence
118,"412 - 15956 86 A Avenue, Surrey, BC",2,2,847 sqft,,2,"$2,256",2013,R2894181,Residential,Yes,,$707,16/06/2024,"$599,000",11/06/2024,"$599,000",Apartment/Condominium
119,"6230 Killarney Drive, Surrey, BC",4,3,2164 sqft,,8,"$5,833",1980,R2893156,Residential,Yes,,$738,16/06/2024,"$1,565,000",10/06/2024,"$1,598,880",Single Family Residence
120,"121 - 1840 160 Street, Surrey, BC",2,1,764 sqft,,2,$490,1975,R2883177,Residential,No,,$300,16/06/2024,"$190,000",14/06/2024,"$229,900",Manufactured Home
121,"13 - 15340 Guildford Drive, Surrey, BC",3,2,1292 sqft,,2,"$2,349",2016,R2872698,Residential,Yes,,$664,16/06/2024,"$855,000",21/04/2024,"$858,000",Townhouse
122,"203 - 8168 120 A Street, Surrey, BC",1,1,635 sqft,,1,"$1,879",2010,R2883518,Residential,Yes,,$707,16/06/2024,"$415,000",13/05/2024,"$449,000",Apartment/Condominium
123,"14299 70 A Avenue, Surrey, BC",4,2,2025 sqft,,6,"$4,896",1978,R2888508,Residential,No,,$716,16/06/2024,"$1,398,000",28/05/2024,"$1,449,900",Single Family Residence
124,"2178 Ocean Forest Drive, Surrey, BC",7,8,6282 sqft,,8,"$10,400",2020,R2893395,Residential,Yes,,$573,16/06/2024,"$3,674,000",11/06/2024,"$3,599,999",Single Family Residence
125,"1643 135 A Street, Surrey, BC",9,9,7144 sqft,,6,"$7,124",2024,R2891697,Residential,Yes,,$544,16/06/2024,"$3,542,857",05/06/2024,"$3,888,000",Single Family Residence
126,"5877 188 Street, Surrey, BC",4,2,2024 sqft,,6,"$4,546",1988,R2882791,Residential,Yes,,$699,16/06/2024,"$1,395,000",13/05/2024,"$1,415,000",Single Family Residence
127,"2162 166 Street, Surrey, BC",6,3,3307 sqft,,6,"$7,179",2022,R2893615,Residential,Yes,,$634,16/06/2024,"$2,118,000",10/06/2024,"$2,098,000",Single Family Residence
128,"15 - 16685 25 Avenue, Surrey, BC",3,2,1333 sqft,,2,"$2,770",2021,R2884330,Residential,Yes,,$651,16/06/2024,"$869,000",16/05/2024,"$869,000",Townhouse
