,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
86,Townhouse,"$3,527",1845 sqft,Yes,$429,R2597362,,Residential,2018,,"37 - 10480 248 St, Maple Ridge, BC",3,4,2,28/06/2021,"$792,800",08/07/2021,"$784,000"
87,Single Family Residence,"$5,302",3096 sqft,Yes,$387,R2597966,,Residential,2006,,"10368 Mceachern St, Maple Ridge, BC",3,6,0,05/07/2021,"$1,199,000",06/07/2021,"$1,220,000"
88,Apartment/Condominium,"$2,055",748 sqft,Yes,$601,R2749950,,Residential,2012,,"204 - 11566 224 St, Maple Ridge, BC",1,1,1,01/02/2023,"$449,900",02/02/2023,"$460,000"
89,Apartment/Condominium,"$1,999", q1fs0t6,Yes,$665,R2586977,,Residential,2015,,"308 - 12070 227 St, Maple Ridge, BC",1,1,1,26/05/2021,"$399,999",12/07/2021,"$398,000"
90,Single Family Residence,"$5,767",1836 sqft,Yes,$544,R2860266,,Residential,1987,,"22442 125 Ave, Maple Ridge, BC",3,4,0,17/03/2024,"$999,000",25/03/2024,"$1,010,000"
91,Single Family Residence,"$4,498",2421 sqft,No,$433,R2597042,,Residential,1967,,"12145 221 St, Maple Ridge, BC",2,5,8,27/06/2021,"$1,049,000",12/07/2021,"$1,056,500"
92,Multi Family,"$3,934",1445 sqft,Yes,$761,R2517981,,Residential,1998,,"11983 Hall St, Maple Ridge, BC",2,3,3,15/11/2020,"$1,100,000",12/07/2021,"$1,100,000"
93,Single Family Residence,"$5,913",3402 sqft,Yes,$352,R2598374,,Residential,2002,,"13380 235 St, Maple Ridge, BC",3,4,5,04/07/2021,"$1,199,900",12/07/2021,"$1,312,000"
94,Manufactured Home,,840 sqft,No,$237,R2836020,,Residential,1977,,"5 - 21163 Lougheed Highway, Maple Ridge, BC",1,2,2,03/12/2023,"$199,900",-,-
95,Single Family Residence,"$4,317",2214 sqft,No,$406,R2598556,,Residential,2005,,"24206 103 Ave, Maple Ridge, BC",3,4,0,04/07/2021,"$899,000",12/07/2021,"$991,500"
96,Manufactured Home,$194,720 sqft,No,$117,R2571230,,Residential,1975,,"21 - 21163 Lougheed Highway, Maple Ridge, BC",1,1,2,25/04/2021,"$84,800",15/07/2021,"$83,000"
97,Apartment/Condominium,"$2,772",1020 sqft,Yes,$539,R2600382,,Residential,2020,,"309 - 22577 Royal Cres, Maple Ridge, BC",2,2,2,08/07/2021,"$549,900",17/07/2021,"$545,000"
98,Single Family Residence,"$2,878",3352 sqft,Yes,$462,R2602374,,Residential,2021,,"23680 132 Ave, Maple Ridge, BC",4,6,8,14/07/2021,"$1,549,900",15/07/2021,"$1,554,900"
99,Townhouse,"$3,061",1226 sqft,Yes,$513,R2601094,,Residential,1992,,"11 - 12071 232b St, Maple Ridge, BC",2,2,2,11/07/2021,"$629,000",16/07/2021,"$625,000"
100,Single Family Residence,"$4,344",3136 sqft,Yes,$430,R2591474,,Residential,2020,,"12908 240a St, Maple Ridge, BC",3,4,4,13/06/2021,"$1,350,000",15/07/2021,"$1,350,000"
101,Apartment/Condominium,"$2,077",765 sqft,Yes,$522,R2590894,,Residential,2008,,"309 - 12248 224 St, Maple Ridge, BC",1,1,1,08/06/2021,"$399,900",17/07/2021,"$395,000"
102,Single Family Residence,"$5,637",2273 sqft,No,$659,R2647261,,Residential,1976,,"21175 122 Ave, Maple Ridge, BC",3,5,4,30/01/2022,"$1,499,900",08/02/2022,"$1,605,700"
103,Apartment/Condominium,,1026 sqft,Yes,$594,R2847513,,Residential,2023,,"203 - 11917 Burnett St, Maple Ridge, BC",2,2,1,05/02/2024,"$610,000",-,-
104,Single Family Residence,"$3,101",2027 sqft,Yes,$369,R2601708,,Residential,2015,,"34 - 11792 Morris St, Maple Ridge, BC",2,3,4,11/07/2021,"$749,000",21/07/2021,"$749,000"
105,Townhouse,"$3,211",1310 sqft,No,$564,R2601090,,Residential,2014,,"73 - 12161 237 St, Maple Ridge, BC",2,3,2,11/07/2021,"$739,000",20/07/2021,"$739,000"
106,Single Family Residence,"$6,655",3357 sqft,Yes,$563,R2591696,,Residential,2012,,"23524 Dogwood Ave, Maple Ridge, BC",2,4,4,08/06/2021,"$1,890,000",20/07/2021,"$1,830,000"
107,Single Family Residence,"$2,199",3335 sqft,Yes,$389,R2599191,,Residential,2020,,"11036 240 St, Maple Ridge, BC",3,6,3,05/07/2021,"$1,298,000",21/07/2021,"$1,260,000"
108,Apartment/Condominium,"$2,732",1152 sqft,No,$468,R2601212,,Residential,1999,,"1011 - 12148 224 St, Maple Ridge, BC",2,2,0,12/07/2021,"$539,900",20/07/2021,"$520,000"
109,Single Family Residence,"$4,371",1339 sqft,Yes,$709,R2587534,,Residential,1962,,"11918 Hawthorne St, Maple Ridge, BC",2,4,5,31/05/2021,"$950,000",20/07/2021,"$945,000"
