,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
116,Apartment/Condominium,"$2,171",1021 sqft,Yes,$489,R2601407,,Residential,1977,,"122 - 1040 King Albert Ave, Coquitlam, BC",1,2,1,12/07/2021,"$500,000",18/07/2021,"$520,000"
117,Townhouse,"$2,651",1178 sqft,Yes,$593,R2601297,,Residential,2004,,"31 - 730 Farrow St, Coquitlam, BC",2,2,2,11/07/2021,"$699,000",19/07/2021,"$730,000"
118,Apartment/Condominium,"$2,189",1138 sqft,Yes,$483,R2600611,,Residential,1993,,"67 - 202 Laval St, Coquitlam, BC",1,2,2,06/07/2021,"$549,900",19/07/2021,"$552,000"
119,Single Family Residence,"$4,166",2223 sqft,Yes,$628,R2593706,,Residential,1992,,"3165 Robson Dr, Coquitlam, BC",3,5,4,15/06/2021,"$1,398,000",18/07/2021,"$1,413,000"
120,Apartment/Condominium,"$2,447",828 sqft,Yes,$758,R2601298,,Residential,2009,,"704 - 2978 Glen Dr, Coquitlam, BC",2,2,1,14/07/2021,"$628,000",22/07/2021,"$620,000"
121,Apartment/Condominium,"$2,187",910 sqft,Yes,$835,R2821180,,Residential,2012,,"3205 - 2968 Glen Dr, Coquitlam, BC",2,2,1,02/10/2023,"$760,000",-,-
122,Single Family Residence,"$4,194",2112 sqft,No,$497,R2582815,,Residential,1961,,"336 Seaforth Cres, Coquitlam, BC",2,4,4,17/05/2021,"$1,050,000",23/07/2021,"$1,030,000"
123,Apartment/Condominium,,825 sqft,Yes,$973,R2605270,,Residential,2024,,"2409 - 318 Alderson Ave, Coquitlam, BC",2,2,1,23/07/2021,"$802,900",23/07/2021,"$802,900"
124,Apartment/Condominium,"$2,743",1090 sqft,Yes,$659,R2603578,,Residential,2009,,"316 - 3097 Lincoln Ave, Coquitlam, BC",2,3,1,19/07/2021,"$719,000",22/07/2021,"$719,000"
125,Apartment/Condominium,"$2,174",631 sqft,Yes,$847,R2603185,,Residential,2013,,"308 - 617 Smith Ave, Coquitlam, BC",1,1,1,18/07/2021,"$535,000",23/07/2021,"$522,500"
126,Townhouse,"$3,012",2429 sqft,No,$411,R2587837,,Residential,1986,,"156 - 2721 Atlin Pl, Coquitlam, BC",3,4,2,31/05/2021,"$998,800",23/07/2021,"$995,000"
127,Apartment/Condominium,"$2,839",870 sqft,Yes,$848,R2603191,,Residential,2019,,"604 - 530 Whiting Way, Coquitlam, BC",2,2,1,18/07/2021,"$738,000",23/07/2021,"$732,500"
128,Apartment/Condominium,"$2,092",880 sqft,Yes,$852,R2858821,,Residential,2013,,"412 - 618 Como Lake Ave, Coquitlam, BC",2,2,1,11/03/2024,"$749,999",06/04/2024,"$750,000"
129,Townhouse,,1016 sqft,Yes,$812,R2597499,,Residential,2022,,"211 - 708 Lea Ave, Coquitlam, BC",1,2,1,28/06/2021,"$825,900",25/07/2021,"$815,900"
130,Single Family Residence,"$4,031",1952 sqft,Yes,$627,R2603031,,Residential,1983,,"1285 River Dr, Coquitlam, BC",2,3,5,18/07/2021,"$1,225,000",25/07/2021,"$1,325,000"
131,Townhouse,"$2,337",1195 sqft,Yes,$543,R2604074,,Residential,1990,,"328 - 1215 Lansdowne Dr, Coquitlam, BC",2,2,3,21/07/2021,"$649,900",25/07/2021,"$701,000"
132,Apartment/Condominium,"$2,282",850 sqft,Yes,$607,R2602183,,Residential,1982,,"808 - 460 Westview St, Coquitlam, BC",1,2,1,12/07/2021,"$516,000",25/07/2021,"$500,000"
133,Townhouse,"$3,162",1348 sqft,Yes,$660,R2603466,,Residential,2013,,"36 - 1320 Riley St, Coquitlam, BC",2,3,2,19/07/2021,"$889,900",25/07/2021,"$900,000"
134,Single Family Residence,,-,No,,R2707776,,Residential Lease,,,"380 Lebleu St, Coquitlam, BC",4,6,0,07/07/2022,"$4,500",03/08/2022,"$4,500"
135,Townhouse,"$2,395",1158 sqft,Yes,$522,R2597736,,Residential,1988,,"4 - 1328 Brunette Ave, Coquitlam, BC",2,2,1,27/06/2021,"$605,000",25/07/2021,"$620,000"
136,Apartment/Condominium,,863 sqft,Yes,$979,R2606334,,Residential,2024,,"2107 - 308 Alderson Ave, Coquitlam, BC",2,2,1,27/07/2021,"$844,900",27/07/2021,"$844,900"
137,Apartment/Condominium,"$2,628",930 sqft,Yes,$725,R2604957,,Residential,2013,,"210 - 1128 Kensal Pl, Coquitlam, BC",2,2,1,25/07/2021,"$675,000",27/07/2021,"$695,000"
138,Townhouse,"$3,523",2100 sqft,Yes,$565,R2591341,,Residential,2014,,"24 - 3470 Highland Dr, Coquitlam, BC",3,4,2,09/06/2021,"$1,188,000",27/07/2021,"$1,168,000"
139,Apartment/Condominium,"$3,693",1260 sqft,Yes,$753,R2603414,,Residential,2019,,"1203 - 3096 Windsor Gate, Coquitlam, BC",2,3,1,19/07/2021,"$949,900",27/07/2021,"$939,900"
