,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
1009,Townhouse,"$2,197",1290 sqft,Yes,$534,R2715421,,Residential,2011,,"44 - 31125 Westridge Pl, Abbotsford, BC",2,3,2,09/08/2022,"$689,000",11/08/2022,"$690,000"
1010,Townhouse,"$3,094",2426 sqft,Yes,$350,R2704671,,Residential,2011,,"10 - 34130 Old Yale Rd, Abbotsford, BC",3,4,2,27/06/2022,"$849,900",12/08/2022,"$817,500"
1011,Single Family Residence,"$3,907",2200 sqft,Yes,$488,R2713194,,Residential,2016,,"3 - 33973 Hazelwood Ave, Abbotsford, BC",2,4,4,26/07/2022,"$1,075,000",11/08/2022,"$940,000"
1012,Single Family Residence,"$3,092",1056 sqft,No,$710,R2714676,,Residential,1977,,"2975 Oriole Cres, Abbotsford, BC",1,3,3,04/08/2022,"$750,000",11/08/2022,"$720,000"
1013,Single Family Residence,"$4,420",2985 sqft,No,$401,R2768412,,Residential,1958,,"2859 Woodland St, Abbotsford, BC",2,3,6,16/04/2023,"$1,199,000",18/05/2023,"$1,190,000"
1014,Single Family Residence,"$3,234",2096 sqft,No,$374,R2699498,,Residential,1954,,"32485 Marshall Rd, Abbotsford, BC",1,3,2,12/06/2022,"$785,000",10/08/2022,"$744,000"
1015,Apartment/Condominium,"$1,562",920 sqft,Yes,$434,R2715912,,Residential,1992,,"221 - 32725 George Ferguson Way, Abbotsford, BC",2,2,0,08/08/2022,"$399,900",21/08/2022,"$390,000"
1016,Apartment/Condominium,"$2,112",1280 sqft,Yes,$417,R2676901,,Residential,1992,,"601 - 3190 Gladwin Rd, Abbotsford, BC",2,2,1,17/04/2022,"$535,000",19/08/2022,"$470,000"
1017,Apartment/Condominium,"$1,307",1064 sqft,Yes,$421,R2715575,,Residential,1991,,"124 - 33175 Old Yale Rd, Abbotsford, BC",2,2,1,09/08/2022,"$449,000",20/08/2022,"$439,500"
1018,Single Family Residence,"$2,021",1560 sqft,No,$557,R2716844,,Residential,1968,,"33212 Alta Ave, Abbotsford, BC",2,3,3,18/08/2022,"$869,000",18/08/2022,"$855,000"
1019,Apartment/Condominium,"$1,416",1000 sqft,Yes,$439,R2716633,,Residential,1996,,"309 - 2435 Center St, Abbotsford, BC",2,2,1,11/08/2022,"$439,000",21/08/2022,"$420,000"
1020,Townhouse,"$2,317",1385 sqft,Yes,$404,R2694038,,Residential,1988,,"8 - 2803 Marble Hill Dr, Abbotsford, BC",2,2,2,29/05/2022,"$560,000",19/08/2022,"$545,000"
1021,Townhouse,"$2,687",2683 sqft,Yes,$293,R2716421,,Residential,1993,,"17 - 31450 Spur Ave, Abbotsford, BC",3,3,4,16/08/2022,"$788,800",21/08/2022,"$777,658"
1022,Single Family Residence,"$5,186",4189 sqft,Yes,$365,R2713053,,Residential,1979,,"1893 Viewgrove Pl, Abbotsford, BC",3,4,7,27/07/2022,"$1,529,900",21/08/2022,"$1,500,000"
1023,Townhouse,"$2,516",1651 sqft,Yes,$417,R2708556,,Residential,2004,,"62 - 35287 Old Yale Rd, Abbotsford, BC",3,3,2,11/07/2022,"$689,900",24/08/2022,"$675,000"
1024,Apartment/Condominium,"$1,236",889 sqft,No,$449,R2711118,,Residential,1993,,"301 - 33887 Marshall Rd, Abbotsford, BC",2,2,1,19/07/2022,"$399,900",25/08/2022,"$390,000"
1025,Apartment/Condominium,"$1,172",1327 sqft,Yes,$225,R2705497,,Residential,1987,,"230 - 32853 Landeau Pl, Abbotsford, BC",2,2,1,06/07/2022,"$299,900",24/08/2022,"$295,000"
1026,Townhouse,"$1,545",928 sqft,No,$505,R2709236,,Residential,1980,,"1714 - 34909 Old Yale Rd, Abbotsford, BC",1,2,2,10/07/2022,"$469,000",24/08/2022,"$430,000"
