,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
500,Apartment/Condominium,"$1,566",970 sqft,Yes,$456,R2602939,,Residential,1980,,"302 - 1720 Southmere Cres, Surrey, BC",1,2,1,18/07/2021,"$443,000",20/07/2021,"$444,000"
501,Single Family Residence,"$5,944",4122 sqft,Yes,$446,R2571114,,Residential,1950,,"13608 20 Ave, Surrey, BC",4,6,0,21/04/2021,"$1,840,000",20/07/2021,"$1,775,000"
502,Apartment/Condominium,"$2,270",1238 sqft,Yes,$525,R2602369,,Residential,1994,,"313 - 15185 22 Ave, Surrey, BC",2,2,2,12/07/2021,"$650,000",20/07/2021,"$617,500"
503,Single Family Residence,"$3,631",2124 sqft,Yes,$659,R2589624,,Residential,1986,,"8866 143a St, Surrey, BC",3,5,4,04/06/2021,"$1,399,888",21/07/2021,"$1,265,000"
504,Single Family Residence,"$5,575",3260 sqft,Yes,$536,R2604039,,Residential,1986,,"12184 Boundary Dr S, Surrey, BC",3,5,8,20/07/2021,"$1,748,000",21/07/2021,"$1,725,000"
505,Townhouse,"$2,333",1201 sqft,Yes,$532,R2602013,,Residential,2014,,"19 - 14433 60 Ave, Surrey, BC",2,2,1,13/07/2021,"$639,900",21/07/2021,"$675,000"
506,Single Family Residence,"$6,954",4322 sqft,Yes,$577,R2588415,,Residential,2019,,"13176 19 A Ave, Surrey, BC",5,5,4,01/06/2021,"$2,498,000",21/07/2021,"$2,418,000"
507,Townhouse,"$3,242",1781 sqft,Yes,$617,R2808662,,Residential,2017,,"18 - 14057 60a Ave, Surrey, BC",3,4,2,20/08/2023,"$1,100,000",-,-
508,Single Family Residence,"$4,669",3660 sqft,Yes,$427,R2584151,,Residential,1983,,"12413 93 Ave, Surrey, BC",3,5,8,23/05/2021,"$1,565,000",21/07/2021,"$1,535,000"
509,Single Family Residence,"$6,335",3861 sqft,Yes,$517,R2741349,,Residential,1992,,"9046 162a St, Surrey, BC",3,4,7,01/12/2022,"$1,998,000",04/12/2022,"$1,850,000"
510,Single Family Residence,"$3,627",1930 sqft,Yes,$569,R2590355,,Residential,1983,,"13092 64a Ave, Surrey, BC",2,5,0,03/06/2021,"$1,100,000",21/07/2021,"$1,140,000"
511,Townhouse,"$3,186",1741 sqft,Yes,$496,R2597652,,Residential,2011,,"21 - 2925 King George Blvd, Surrey, BC",2,3,2,29/06/2021,"$865,000",21/07/2021,"$855,000"
512,Apartment/Condominium,"$1,765",829 sqft,Yes,$633,R2591025,,Residential,2009,,"415 - 15765 Croydon Dr, Surrey, BC",2,2,1,08/06/2021,"$525,000",22/07/2021,"$520,000"
513,Apartment/Condominium,"$1,395",650 sqft,Yes,$615,R2601711,,Residential,2006,,"104 - 15385 101a Ave, Surrey, BC",1,1,1,12/07/2021,"$399,900",22/07/2021,"$399,900"
514,Single Family Residence,"$3,586",2063 sqft,No,$603,R2603142,,Residential,1980,,"5888 183a St, Surrey, BC",3,5,6,18/07/2021,"$1,245,000",22/07/2021,"$1,350,000"
515,Apartment/Condominium,"$1,377",544 sqft,Yes,$661,R2603831,,Residential,2009,,"409 - 13399 104 Ave, Surrey, BC",1,1,1,20/07/2021,"$359,900",22/07/2021,"$375,000"
516,Apartment/Condominium,"$1,531",769 sqft,Yes,$648,R2728472,,Residential,1997,,"405 - 9668 148 St, Surrey, BC",1,1,1,02/10/2022,"$499,000",-,-
517,Apartment/Condominium,"$2,055",1508 sqft,Yes,$389,R2599838,,Residential,1987,,"301 - 15255 18 Ave, Surrey, BC",2,2,1,12/07/2021,"$587,000",22/07/2021,"$575,000"
518,Single Family Residence,"$6,525",1816 sqft,No,"$2,312",R2869602,,Residential,1960,,"17027 40 Ave, Surrey, BC",2,4,0,14/04/2024,"$4,200,000",-,Not Sold Yet
519,Apartment/Condominium,,766 sqft,Yes,$691,R2583734,,Residential,2021,,"512 - 10838 Whalley Blvd, Surrey, BC",2,2,1,19/05/2021,"$529,888",22/07/2021,"$517,000"
520,Townhouse,"$2,512",2038 sqft,Yes,$417,R2603889,,Residential,2016,,"6 - 7374 194 A St, Surrey, BC",3,3,2,20/07/2021,"$849,980",23/07/2021,"$849,980"
521,Single Family Residence,"$2,964",1554 sqft,No,$610,R2579035,,Residential,1979,,"7365 129 St, Surrey, BC",2,3,6,10/05/2021,"$949,000",24/07/2021,"$999,000"
522,Apartment/Condominium,"$1,685",1168 sqft,Yes,$393,R2602969,,Residential,1994,,"107 - 5909 177b St, Surrey, BC",2,2,1,18/07/2021,"$459,900",23/07/2021,"$480,000"
