,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice,soldDate,soldPrice
120,Single Family Residence,"$3,479",2573 sqft,No,$504,R2607279,,Residential,1961,,"11487 93 Ave, Delta, BC",3,4,4,04/08/2021,"$1,299,000",12/08/2021,"$1,360,000"
121,Single Family Residence,"$4,219",2185 sqft,Yes,$612,R2868530,,Residential,1980,,"11144 Hardy Pl, Delta, BC",2,4,4,08/04/2024,"$1,338,000",17/04/2024,"$1,325,000"
122,Single Family Residence,"$4,481",2173 sqft,No,$620,R2570796,,Residential,1981,,"6874 Chalet Crt, Delta, BC",2,3,0,22/04/2021,"$1,349,000",11/08/2021,"$1,290,000"
123,Single Family Residence,"$4,043",2842 sqft,No,$597,R2598816,,Residential,1968,,"5417 15b Ave, Delta, BC",3,4,4,04/07/2021,"$1,698,000",11/08/2021,"$1,625,000"
124,Single Family Residence,,2080 sqft,Yes,$720,R2790648,,Residential,1980,,"11918 72a Ave, Delta, BC",3,4,0,19/06/2023,"$1,498,888",-,-
125,Single Family Residence,"$4,200",1978 sqft,Yes,$676,R2594089,,Residential,1974,,"5291 Williams Ave, Delta, BC",2,4,4,16/06/2021,"$1,338,000",11/08/2021,"$1,315,000"
126,Single Family Residence,"$3,590",2141 sqft,Yes,$537,R2606180,,Residential,1977,,"7770 Swanson Dr, Delta, BC",2,4,5,02/08/2021,"$1,149,900",10/08/2021,"$1,261,000"
127,Single Family Residence,"$3,896",1894 sqft,Yes,$670,R2605266,,Residential,1972,,"11494 75a Ave, Delta, BC",2,4,2,26/07/2021,"$1,269,000",11/08/2021,"$1,270,000"
128,Apartment/Condominium,"$1,352",480 sqft,Yes,$833,R2608008,,Residential,2018,,"2110 - 11967 80 Ave, Delta, BC",1,1,1,04/08/2021,"$399,999",17/08/2021,"$412,000"
129,Apartment/Condominium,"$1,536",1251 sqft,Yes,$327,R2601500,,Residential,1990,,"202 - 11920 80 Ave, Delta, BC",2,2,1,12/07/2021,"$410,000",16/08/2021,"$410,000"
130,Single Family Residence,"$4,165",1886 sqft,Yes,$633,R2609527,,Residential,1970,,"1227 55 St, Delta, BC",2,4,6,11/08/2021,"$1,195,000",17/08/2021,"$1,302,000"
131,Single Family Residence,"$5,216",1574 sqft,No,$799,R2584826,,Residential,1954,,"5154 47 Ave, Delta, BC",2,4,2,24/05/2021,"$1,259,000",17/08/2021,"$1,210,000"
132,Single Family Residence,"$4,804",2974 sqft,Yes,$604,R2606847,,Residential,1966,,"5333 Upland Dr, Delta, BC",3,4,8,02/08/2021,"$1,799,000",16/08/2021,"$1,784,000"
