mlsId,price,beds,baths,address,sqFt,parking,taxes,pricePerSqFt,yearBuilt,propertyType,soldDate,listingDate,listingPrice
R2643892,1310000.0,3.0,2.0,"3788 Laurel St, Burnaby, BC, Canada",1168.0,2.0,2873.0,1154.0,2009.0,Townhouse,16/03/2022,2022-01-17,1348800.0
R2662108,435000.0,1.0,1.0,"7151 Edmonds St, Burnaby, BC, Canada",696.0,1.0,1164.0,560.0,1977.0,Condo,16/03/2022,2022-03-07,390000.0
R2655778,798000.0,2.0,2.0,"5885 Olive Ave, Burnaby, BC, Canada",1239.0,1.0,2270.0,665.0,1991.0,Condo,16/03/2022,2022-02-21,825000.0
R2649930,579333.0,3.0,1.0,"9146 Saturna Dr, Burnaby, BC, Canada",1045.0,2.0,1412.0,554.0,1977.0,Condo,16/03/2022,2022-02-06,579333.0
R2663698,638000.0,2.0,1.0,"7337 Macpherson Ave, Burnaby, BC, Canada",728.0,2.0,1520.0,876.0,2008.0,Condo,15/03/2022,2022-03-10,638000.0
R2638941,1078000.0,2.0,2.0,"6188 Wilson Ave, Burnaby, BC, Canada",4512.0,1.0,2842.0,893.0,2010.0,Condo,16/03/2022,2021-12-12,1120000.0
R2664424,620000.0,2.0,1.0,"2060 Bellwood Ave, Burnaby, BC, Canada",1028.0,1.0,1482.0,611.0,1982.0,Condo,19/03/2022,2022-03-13,628800.0
R2665854,1005000.0,3.0,3.0,"7533 Gilley Ave, Burnaby, BC, Canada",1365.0,1.0,2373.0,658.0,2010.0,Townhouse,19/03/2022,2022-03-15,899000.0
R2654759,3500000.0,6.0,7.0,"5608 Georgia St, Burnaby, BC, Canada",4735.0,6.0,9804.0,791.0,2018.0,SingleFamily,19/03/2022,2022-02-16,3750000.0
R2659530,1222000.0,3.0,3.0,"9290 Goldhurst Terr, Burnaby, BC, Canada",2181.0,2.0,2686.0,549.0,1988.0,Townhouse,19/03/2022,2022-03-01,1198800.0
R2663790,770000.0,2.0,2.0,"5211 Irmin St, Burnaby, BC, Canada",840.0,1.0,1895.0,772.0,2009.0,Townhouse,20/03/2022,2022-03-10,649000.0
R2661276,800000.0,2.0,2.0,"6088 Willingdon Ave, Burnaby, BC, Canada",929.0,2.0,2097.0,902.0,1999.0,Condo,19/03/2022,2022-03-06,838800.0
R2664845,477500.0,1.0,1.0,"3771 Bartlett Crt, Burnaby, BC, Canada",692.0,1.0,1057.0,541.0,1977.0,Condo,21/03/2022,2022-03-14,374900.0
R2664480,1140028.0,3.0,2.0,"2138 Madison Ave, Burnaby, BC, Canada",1359.0,2.0,3293.0,809.0,2006.0,Condo,20/03/2022,2022-03-13,1099928.0
