,type,taxes,area,garage,pricePerSqFt,mlsNumber,lotSize,levels,built,maintenance,address,bath,beds,parking,listingDate,listingPrice
112,Apartment/Condominium,"$2,139",658 sqft,Yes,$758,R2902994,,Residential,2019,,"2212 - 13308 Central Ave, Surrey, BC",1,2,1,07/07/2024,"$499,000"
113,Apartment/Condominium,"$2,516",973 sqft,Yes,$728,R2904573,,Residential,2014,,"210 - 15188 29 A Ave, Surrey, BC",2,2,1,07/07/2024,"$709,000"
114,Townhouse,"$3,079",1915 sqft,Yes,$495,R2902816,,Residential,2004,,"49 - 6050 166 St, Surrey, BC",2,3,2,07/07/2024,"$949,000"
115,Single Family Residence,"$6,873",4131 sqft,Yes,$435,R2902942,,Residential,1999,,"7636 147 A St, Surrey, BC",4,9,6,07/07/2024,"$1,799,900"
116,Single Family Residence,"$9,186",3184 sqft,Yes,"$1,067",R2904101,,Residential,1974,,"13500 Balsam Cres, Surrey, BC",2,4,5,07/07/2024,"$3,398,000"
117,Apartment/Condominium,"$1,684",361 sqft,Yes,"$1,077",R2903296,,Residential,2022,,"1703 - 13685 102 Ave, Surrey, BC",1,0,0,07/07/2024,"$389,000"
118,Townhouse,"$2,084",1017 sqft,No,$657,R2903806,,Residential,1980,,"512 - 10620 150 St, Surrey, BC",1,2,1,07/07/2024,"$669,000"
119,Apartment/Condominium,"$2,049",999 sqft,Yes,$578,R2903931,,Residential,1994,,"308 - 13383 108 Ave, Surrey, BC",2,2,1,07/07/2024,"$578,000"
120,Single Family Residence,"$8,326",2948 sqft,Yes,$909,R2903688,,Residential,2002,,"2313 Chantrell Park Dr, Surrey, BC",3,4,4,07/07/2024,"$2,680,000"
121,Single Family Residence,"$7,872",5683 sqft,Yes,$474,R2904162,,Residential,2017,,"9350 127a St, Surrey, BC",7,10,8,07/07/2024,"$2,699,000"
122,Single Family Residence,"$6,287",2991 sqft,Yes,$543,R2904366,,Residential,1993,,"8237 167 A St, Surrey, BC",4,6,0,07/07/2024,"$1,625,000"
123,Single Family Residence,"$7,866",5477 sqft,Yes,$438,R2903511,,Residential,2014,,"5827 140 St, Surrey, BC",5,7,6,07/07/2024,"$2,399,999"
124,Townhouse,"$3,482",2007 sqft,Yes,$572,R2901716,,Residential,2008,,"3 - 2738 158 St, Surrey, BC",3,4,2,07/07/2024,"$1,150,000"
125,Single Family Residence,"$3,438",3015 sqft,Yes,$364,R2902704,,Residential,2005,,"10 - 16825 60 Ave, Surrey, BC",3,6,0,07/07/2024,"$1,099,000"
126,Townhouse,"$3,644",1582 sqft,Yes,$624,R2903019,,Residential,2016,,"3 - 2958 159 St, Surrey, BC",2,3,3,07/07/2024,"$988,000"
127,Townhouse,"$2,586",1229 sqft,Yes,$780,R2903495,,Residential,2022,,"17 - 15235 Sitka Dr, Surrey, BC",3,2,2,07/07/2024,"$959,000"
128,Townhouse,"$2,536",1110 sqft,Yes,$656,R2903086,,Residential,2007,,"26 - 19448 68 Ave, Surrey, BC",2,2,2,07/07/2024,"$729,000"
